City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,shirvan,39.9509,48.8994,24.02,45,87,2.41,AZ,1687492152
354,kish,26.5578,54.0194,30.15,89,0,0.0,IR,1687492152
355,caleta de carquin,-11.0925,-77.6267,19.64,82,17,4.04,PE,1687492152
356,machico,32.7,-16.7667,21.35,80,20,5.14,PT,1687492153
357,arish,31.1316,33.7984,23.75,73,0,0.69,EG,1687492153
358,torghay,49.6339,63.4981,14.23,63,87,5.34,KZ,1687492136
359,talcahuano,-36.7167,-73.1167,13.82,100,100,3.6,CL,1687492080
360,al muwayh,22.4333,41.7583,29.47,20,1,1.76,SA,1687492154
361,fort st. john,56.2499,-120.8529,17.94,72,75,3.6,CA,1687492154
362,saint-pierre-du-mont,43.8845,-0.5219,16.45,94,100,1.54,FR,1687492154
363,tanumah,27.1,44.1333,31.42,16,0,6.21,SA,1687492154
364,portland,45.5234,-122.6762,27.99,43,20,4.63,US,1687491953
